country,Year,gdp_total_yearly_growth copy,gdpperemployee_us_inflation_adjusted,gdpperworking_hour_us_inflation_adjusted
Denmark,1999,3.74,109k,28.5
Denmark,2000,0.811,110k,28.4
Spain,1990,2.5,66.9k,20
Spain,1991,0.981,68.5k,20.7
Spain,1992,-0.931,70.8k,21.5
Spain,1993,2.52,73.2k,22.2
Spain,1994,2.89,73.3k,22.2
Spain,1995,2.51,73.5k,22.2
Spain,1996,3.96,73.5k,22.2
Spain,1997,4.68,73.6k,22.1
Spain,1998,5.03,72.5k,21.9
Spain,1999,5.93,72.4k,21.9
Spain,2000,4.7,72.3k,21.9
Estonia,1990,-10.3,17.5k,10.3
Estonia,1991,-13.8,14.6k,9.21
Estonia,1992,-8.07,14.6k,8.82
Estonia,1993,-2.02,14.9k,9.07
Estonia,1994,4.12,16.6k,9.99
Estonia,1995,4.33,17.7k,10.7
Estonia,1996,10.3,19.7k,11.9
Estonia,1997,5.16,20.6k,12.6
Estonia,1998,-0.0508,21.2k,13
Estonia,1999,7.85,24k,14.6
Estonia,2000,6.55,25.8k,15.7
Finland,1990,-6.47,65.1k,19.3
Finland,1991,-3.84,67.7k,19.9
Finland,1992,-1.19,71.5k,20.9
Finland,1993,4.01,75.1k,21.8
Finland,1994,3.5,79.4k,22.2
Finland,1995,3.83,81.5k,22.7
Finland,1996,6.19,84.4k,23.4
Finland,1997,5.64,86.5k,24.3
Finland,1998,3.86,87.3k,24.5
Finland,1999,5.08,90.9k,25.4
Finland,2000,2.64,91.6k,26
France,1990,1.13,81.6k,26.8
France,1991,1.59,83.3k,27.4
France,1992,-1.25,83.5k,27.7
France,1993,1.95,86.4k,28.3
France,1994,2.13,86.9k,29.1
France,1995,0.998,87.5k,29.3
France,1996,2.14,89.7k,29.9
France,1997,3.41,91.7k,30.7
France,1998,3.16,93.6k,31.2
France,1999,3.94,94.7k,32.4
France,2000,1.8,94.8k,32.6
United Kingdom,1990,-1.47,61.4k,21.2
United Kingdom,1991,0.164,62.8k,22.1
United Kingdom,1992,2.27,65.3k,23
United Kingdom,1993,4.3,67.4k,23.7
United Kingdom,1994,3.04,68.5k,24
United Kingdom,1995,2.92,69.5k,24.6
United Kingdom,1996,3.44,70.4k,25
United Kingdom,1997,3.85,71.7k,25.4
United Kingdom,1998,3.61,73.2k,25.9
United Kingdom,1999,4.46,75k,26.7
United Kingdom,2000,3.14,76.4k,27.1
Greece,1990,2.9,52.9k,15
Greece,1991,1.14,51.8k,14.7
Greece,1992,-0.933,50.6k,14.2
Greece,1993,2.76,50.2k,14.4
Greece,1994,2.92,50.1k,14.7
Greece,1995,3.09,50.6k,14.7
Greece,1996,4.24,52.4k,15.4
Greece,1997,3.89,53.7k,15.2
Greece,1998,3.94,55k,15.4
Greece,1999,4.87,56.4k,15.7
Greece,2000,4.84,59k,16.4
Hungary,1990,-12,22.4k,7.82
Hungary,1991,-2.99,21.7k,8.56
Hungary,1992,-0.429,22.9k,9.17
Hungary,1993,3.05,23.9k,9.11
Hungary,1994,1.55,24.5k,9.3
Hungary,1995,1.37,25k,9.41
Hungary,1996,4.63,26k,9.77
Hungary,1997,4.91,26.7k,10.1
Hungary,1998,4.22,26.5k,10.1
Hungary,1999,5.3,27.4k,10.5
Hungary,2000,4.1,28.3k,9.68
Ireland,1990,1.46,71.6k,19.5
Ireland,1991,2.9,73.9k,20.4
Ireland,1992,2.58,74.5k,20.9
Ireland,1993,5.86,75.7k,21.4
Ireland,1994,9.82,79k,22.3
Ireland,1995,8.41,83.1k,23.3
Ireland,1996,11.7,88.1k,25.6
Ireland,1997,7.62,88.4k,26.6
Ireland,1998,10.4,91.9k,28.1
Ireland,1999,9.7,96.1k,29.3
Ireland,2000,6.6,98.9k,29.8
Iceland,1990,0.853,56.7k,18.2
Iceland,1991,-3.58,54.5k,17.4
Iceland,1992,0.508,55.8k,18
Iceland,1993,4.63,57.2k,18.6
Iceland,1994,0.577,54.9k,17.9
Iceland,1995,5.63,56.8k,18.5
Iceland,1996,4.87,59.6k,19.6
Iceland,1997,5.32,61.1k,20.2
Iceland,1998,3.73,61.2k,19.6
Iceland,1999,4.54,62.2k,20
Iceland,2000,3.39,63.9k,20.8
Italy,1990,0.942,81.4k,24.5
Italy,1991,1.26,84.1k,25.4
Italy,1992,-0.778,84.7k,25.8
Italy,1993,3,88k,26.8
Italy,1994,5.39,91.7k,27.6
Italy,1995,0.865,92.8k,27.6
Italy,1996,3.16,94.6k,28
Italy,1997,2.91,95.7k,28.2
Italy,1998,2.87,96.1k,28.4
Italy,1999,4.15,98.4k,29.2
Italy,2000,2.66,98k,29.2
Luxembourg,1990,9.01,168k,28.8
Luxembourg,1991,1.53,167k,28.8
Luxembourg,1992,4.04,175k,29.5
Luxembourg,1993,4.07,182k,30.2
Luxembourg,1994,1.17,188k,29.6
Luxembourg,1995,3.21,187k,29.7
Luxembourg,1996,8.93,193k,30.6
Luxembourg,1997,7.5,202k,31.3
Luxembourg,1998,7.74,212k,32.4
Luxembourg,1999,8.92,221k,33.3
Luxembourg,2000,0.936,226k,32.3
Latvia,1990,-12.9,20.9k,8.55
Latvia,1991,-32.2,13.8k,6.27
Latvia,1992,-4.83,12.1k,5.97
Latvia,1993,2.01,12.9k,6.85
Latvia,1994,-1.1,13.3k,7.6
Latvia,1995,3.55,13.9k,8.05
Latvia,1996,9.04,14.1k,8.35
Latvia,1997,5.62,15.3k,8.73
Latvia,1998,4.82,16k,9.23
Latvia,1999,6.94,17.4k,10.1
Latvia,2000,7.83,18.4k,10.7
Mexico,1990,4.29,21.2k,8.6
Mexico,1991,3.58,21.1k,8.71
Mexico,1992,1.92,21.1k,8.75
Mexico,1993,4.47,21.7k,8.82
Mexico,1994,-6.4,20.6k,8.37
Mexico,1995,5.36,20.9k,7.92
Mexico,1996,7.09,21k,8.17
Mexico,1997,5.19,21.5k,8.36
Mexico,1998,4.07,21.7k,8.19
Mexico,1999,6.71,22.4k,8.73
Mexico,2000,0.147,22.1k,8.83
Romania,1990,-12.9,9520,2.94
Romania,1991,-9.05,8630,2.83
Romania,1992,1.06,8740,2.98
Romania,1993,3.41,9070,2.91
Romania,1994,6.71,9740,3.39
Romania,1995,3.68,10.3k,3.45
Romania,1996,-6.25,9710,3.34
Romania,1997,-5,9700,3.26
Romania,1998,-1.44,9780,3.28
Romania,1999,1.81,10.2k,3.29
Romania,2000,5.38,11k,3.49
Singapore,1990,6.48,47.7k,12.1
Singapore,1991,6.32,49.9k,12.6
Singapore,1992,12.5,53.9k,13.8
Singapore,1993,11.6,57.8k,14.7
Singapore,1994,8.07,60.1k,16.9
Singapore,1995,6.53,63.4k,15.7
Singapore,1996,7.72,66.2k,16.1
Singapore,1997,-2.43,64k,15.5
Singapore,1998,8.82,67.2k,16.6
Singapore,1999,10.5,70.2k,18.6
Singapore,2000,-3.73,67.3k,16.8
United States,1990,-0.626,74.9k,26.7
United States,1991,2.96,77.2k,27.6
United States,1992,2.52,78.2k,27.7
United States,1993,3.9,79.4k,27.9
United States,1994,2.43,80.1k,27.9
United States,1995,3.72,81.8k,28.6
United States,1996,4.46,83.6k,29.1
United States,1997,4.41,85.6k,29.6
United States,1998,4.88,88.1k,30.4
United States,1999,4.16,90.3k,31.1
United States,2000,1.16,91.2k,31.7
