country,Year,Flood Deaths Per Year,GDP Yearly Growth,Natural Gas Production
Bolivia,1988,0,2.95,2.64M
Bolivia,1989,0,5.13,2.7M
Bolivia,1990,0,5.33,2.68M
Bolivia,1991,40k,1.65,2.43M
Bolivia,1992,0,4.2,2.43M
Bolivia,1993,0,4.85,2.62M
Bolivia,1994,0,4.77,2.62M
Bolivia,1995,0,4.48,2.64M
Bolivia,1996,190k,5.09,2.23M
Bolivia,1997,0,5.32,2.33M
Bolivia,1998,1600,0.549,1.87M
Bolivia,1999,7040,2.59,2.68M
Bolivia,2000,357k,1.9,3.91M
Bolivia,2001,5220,2.7,5.01M
Bolivia,2002,57.6k,3.08,5.76M
Bolivia,2003,0,4.2,8.1M
Bolivia,2004,0,4.4,9.99M
Bolivia,2005,127k,4.42,10.7M
Brazil,1970,13.2k,11.5,111k
Brazil,1971,0,12.1,151k
Brazil,1972,20,14.2,173k
Brazil,1973,325k,8.19,332k
Brazil,1974,828k,5.13,362k
Brazil,1975,0,10.3,417k
Brazil,1976,131k,4.89,519k
Brazil,1977,1030,4.92,683k
Brazil,1978,1.5M,6.75,748k
Brazil,1979,271k,9.63,874k
Brazil,1980,52.4k,-4.28,785k
Brazil,1981,0,0.942,1.12M
Brazil,1982,3.34M,-2.91,1.52M
Brazil,1983,392k,5.58,1.76M
Brazil,1984,612k,8.03,2.21M
Brazil,1985,8360,7.63,2.58M
Brazil,1986,10.6k,3.59,2.88M
Brazil,1987,3.07M,-0.0652,2.9M
Brazil,1988,1.03M,3.22,2.97M
Brazil,1989,2820,-6.46,2.7M
Brazil,1990,17k,1.11,2.81M
Brazil,1991,148k,-0.511,3.19M
Brazil,1992,0,5.03,3.73M
Brazil,1993,0,5.99,4.07M
Brazil,1994,33.9k,4.37,4.5M
Brazil,1995,7020,2.82,4.91M
Brazil,1996,62.3k,3.46,5.35M
Brazil,1997,47.5k,0.28,5.6M
Brazil,1998,7,0.954,6.58M
Brazil,1999,87k,4.52,6.63M
Brazil,2000,11.1k,0.984,6.77M
Brazil,2001,3520,2.74,8.18M
Brazil,2002,206k,1.05,8.89M
Brazil,2003,5290,5.62,9.77M
Brazil,2004,41k,2.76,9.67M
Brazil,2005,116k,3.96,9.87M
Canada,1970,0,5.84,50.8M
Canada,1971,0,5.46,57.3M
Canada,1972,0,7.14,61.4M
Canada,1973,0,3.84,60.2M
Canada,1974,0,1.96,61.4M
Canada,1975,0,5.33,62M
Canada,1976,0,3.37,65.1M
Canada,1977,0,4.22,62.8M
Canada,1978,0,4.31,66.3M
Canada,1979,0,1.13,61.2M
Canada,1980,0,2.89,59.2M
Canada,1981,0,-3.25,62.1M
Canada,1982,0,2.9,58.4M
Canada,1983,0,5.85,64M
Canada,1984,0,5.67,69.2M
Canada,1985,4500,2.93,64.9M
Canada,1986,1,4.18,70.4M
Canada,1987,2,5.03,81.3M
Canada,1988,0,2.05,86.4M
Canada,1989,8,0.103,88.9M
Canada,1990,0,-2.04,93.6M
Canada,1991,0,0.624,103M
Canada,1992,200,2.07,114M
Canada,1993,0,4.68,123M
Canada,1994,5600,2.57,131M
Canada,1995,12k,1.34,132M
Canada,1996,29k,4.07,137M
Canada,1997,3100,3.96,142M
Canada,1998,0,5.35,147M
Canada,1999,0,5.13,152M
Canada,2000,0,1.36,154M
Canada,2001,0,3.37,155M
Canada,2002,2470,1.97,151M
Canada,2003,1000,3.2,152M
Canada,2004,5600,3.21,154M
Canada,2005,3900,2.7,154M
China,1970,0,6.85,3.24M
China,1971,0,-0.566,4.19M
China,1972,0,9.44,5.18M
China,1973,0,2.32,6.53M
China,1974,0,6.45,7.67M
China,1975,0,-0.61,8.75M
China,1976,0,3.8,10.5M
China,1977,0,14.8,11.9M
China,1978,0,6.45,12.6M
China,1979,113k,3.53,12.4M
China,1980,3.19M,4.76,11M
China,1981,817k,9.3,10.3M
China,1982,100,6.98,10.6M
China,1983,28k,21.2,10.8M
China,1984,19.2k,9.58,11.2M
China,1985,9.8M,5.61,11.9M
China,1986,941k,5.64,12M
China,1987,25.6M,-0.833,12.4M
China,1988,100M,-5.35,13M
China,1989,42.3M,5.37,13.3M
China,1990,210M,6.19,13.4M
China,1991,685k,8.75,13.7M
China,1992,8630,12.2,14.5M
China,1993,112M,8.81,15.2M
China,1994,127M,12.7,15.6M
China,1995,155M,3.42,17.4M
China,1996,7.69M,6.24,19.7M
China,1997,243M,-0.849,20.2M
China,1998,107M,4.95,21.8M
China,1999,763k,5.63,23.6M
China,2000,2.35M,6.95,26.3M
China,2001,113M,10.9,28.3M
China,2002,156M,8.21,30.3M
China,2003,42.7M,10.2,35.9M
China,2004,34.8M,10.1,42.7M
China,2005,15M,12.4,50.7M
Colombia,1970,51,6.2,1.12M
Colombia,1971,0,7.96,1.37M
Colombia,1972,5180,7.03,1.42M
Colombia,1973,0,6.54,1.47M
Colombia,1974,0,3.18,1.28M
Colombia,1975,47,5.7,1.3M
Colombia,1976,0,5.36,1.48M
Colombia,1977,0,9.83,1.96M
Colombia,1978,102k,6.52,2.24M
Colombia,1979,90,5.09,2.39M
Colombia,1980,150,3.32,2.62M
Colombia,1981,90,1.63,2.8M
Colombia,1982,0,2.43,3.07M
Colombia,1983,0,3.68,3.12M
Colombia,1984,0,3.61,3.19M
Colombia,1985,250k,6.3,3.11M
Colombia,1986,871,6.07,3.27M
Colombia,1987,131k,5.04,3.16M
Colombia,1988,16,4.01,3.19M
Colombia,1989,20.6k,5.09,3.37M
Colombia,1990,0,2.32,3.34M
Colombia,1991,0,4.27,3.42M
Colombia,1992,80.3k,5.63,3.35M
Colombia,1993,18k,5.08,3.46M
Colombia,1994,86.1k,5.15,3.62M
Colombia,1995,180k,1.97,3.91M
Colombia,1996,15k,3.39,4.88M
Colombia,1997,0,0.494,5.58M
Colombia,1998,151k,-4.34,4.9M
Colombia,1999,79.1k,2.92,4.93M
Colombia,2000,6000,1.45,5.11M
Colombia,2001,125k,1.93,5.16M
Colombia,2002,74.1k,3.89,4.94M
Colombia,2003,532k,4.93,5.27M
Colombia,2004,602k,5.31,5.54M
Colombia,2005,222k,7.03,5.82M
Germany,1970,0,2.49,12.7M
Germany,1971,0,3.85,15.2M
Germany,1972,0,4.34,17.1M
Germany,1973,0,0.854,17.7M
Germany,1974,0,-0.184,16.4M
Germany,1975,0,5.31,17M
Germany,1976,0,3,16.9M
Germany,1977,0,2.84,17.4M
Germany,1978,0,3.86,17.5M
Germany,1979,0,0.691,15.9M
Germany,1980,0,0.0348,16.3M
Germany,1981,0,-0.998,14.3M
Germany,1982,0,1.85,15.8M
Germany,1983,0,3.04,15.5M
Germany,1984,0,2.41,14.7M
Germany,1985,0,2.3,12.1M
Germany,1986,0,1.75,13.5M
Germany,1987,0,3.3,12.6M
Germany,1988,0,2.96,13.2M
Germany,1989,0,-3.24,12.9M
Germany,1990,0,5.26,13.2M
Germany,1991,0,2.25,13.4M
Germany,1992,100k,-0.666,13.4M
Germany,1993,2,3.02,14M
Germany,1994,0,2.13,14.5M
Germany,1995,0,1.03,15.7M
Germany,1996,5200,1.81,15.4M
Germany,1997,0,1.84,15M
Germany,1998,100k,1.94,16.1M
Germany,1999,0,3.08,15.2M
Germany,2000,0,1.17,15.3M
Germany,2001,330k,-0.0272,15.3M
Germany,2002,0,-0.213,15.9M
Germany,2003,0,1.08,14.7M
Germany,2004,451,0.798,14.2M
Germany,2005,1000,4.01,14.1M
Algeria,1970,0,-8.38,2.21M
Algeria,1971,0,21.1,2.8M
Algeria,1972,146k,3.39,3.72M
Algeria,1973,20k,6.24,4.3M
Algeria,1974,0,7.2,5.29M
Algeria,1975,0,6.75,6.66M
Algeria,1976,0,9.19,6.38M
Algeria,1977,0,13,9.89M
Algeria,1978,30k,9.23,16.2M
Algeria,1979,0,2.02,13.3M
Algeria,1980,93,2.68,15.4M
Algeria,1981,8550,6.55,20M
Algeria,1982,0,5.27,28.7M
Algeria,1983,1520,5.57,29.2M
Algeria,1984,15k,5.18,32.1M
Algeria,1985,0,-0.932,32.8M
Algeria,1986,0,-0.573,37.1M
Algeria,1987,0,-2.08,38.7M
Algeria,1988,0,3.42,41.8M
Algeria,1989,0,-1.45,44.4M
Algeria,1990,0,-1.08,47.9M
Algeria,1991,2280,1.65,49.9M
Algeria,1992,38,-2.23,50.5M
Algeria,1993,31.2k,-0.999,46.4M
Algeria,1994,0,3.69,52.9M
Algeria,1995,105,3.72,56.1M
Algeria,1996,3000,1.02,64.4M
Algeria,1997,0,5.03,68.9M
Algeria,1998,714,3.14,77.5M
Algeria,1999,249,2.45,79M
Algeria,2000,46.3k,2.62,74.4M
Algeria,2001,2350,4.07,76.5M
Algeria,2002,91,7.04,80.7M
Algeria,2003,27.6k,5.41,79.2M
Algeria,2004,1830,5.38,73M
Algeria,2005,60k,1.72,69.9M
Egypt,1970,0,4.67,70.3k
Egypt,1971,0,2.31,58.8k
Egypt,1972,0,3.04,47.2k
Egypt,1973,0,3.96,49.7k
Egypt,1974,15,10.3,41.4k
Egypt,1975,0,15.6,314k
Egypt,1976,0,12.5,381k
Egypt,1977,0,6.74,612k
Egypt,1978,66k,7.09,927k
Egypt,1979,0,9.75,1.8M
Egypt,1980,0,2.7,2.02M
Egypt,1981,0,9.66,2.21M
Egypt,1982,0,7,2.59M
Egypt,1983,0,5.43,3.33M
Egypt,1984,0,5.92,4.08M
Egypt,1985,0,2.01,4.7M
Egypt,1986,0,2.63,5.2M
Egypt,1987,0,4.26,5.73M
Egypt,1988,0,2.98,6.41M
Egypt,1989,0,1.91,6.68M
Egypt,1990,209,-3.76,7.51M
Egypt,1991,0,2.94,8.13M
Egypt,1992,0,1.18,9.34M
Egypt,1993,161k,3.5,10M
Egypt,1994,3010,4.16,10.3M
Egypt,1995,272,4.49,11M
Egypt,1996,4,4.98,11.3M
Egypt,1997,0,5.23,11.6M
Egypt,1998,0,5.68,13.9M
Egypt,1999,0,5.12,17.4M
Egypt,2000,0,3.33,20.9M
Egypt,2001,888,3.1,22.6M
Egypt,2002,0,3.17,24.9M
Egypt,2003,0,4.11,27.3M
Egypt,2004,0,4.54,35.2M
Egypt,2005,0,6.83,45.3M
United Kingdom,1970,0,1.87,15.6M
United Kingdom,1971,0,3.61,22.6M
United Kingdom,1972,0,7.18,24.5M
United Kingdom,1973,0,-1.18,29.6M
United Kingdom,1974,0,-0.491,30.8M
United Kingdom,1975,0,2.73,32.6M
United Kingdom,1976,6,2.45,34.1M
United Kingdom,1977,0,3.26,32.6M
United Kingdom,1978,0,2.57,32.9M
United Kingdom,1979,0,-2.23,31.3M
United Kingdom,1980,0,-1.34,31.2M
United Kingdom,1981,0,2.25,31.8M
United Kingdom,1982,0,3.65,32.7M
United Kingdom,1983,0,2.61,32M
United Kingdom,1984,0,3.48,35.7M
United Kingdom,1985,0,3.97,37.5M
United Kingdom,1986,0,4.58,39.3M
United Kingdom,1987,0,5.1,37.9M
United Kingdom,1988,0,2.27,37.1M
United Kingdom,1989,0,0.771,40.9M
United Kingdom,1990,0,-1.47,45.6M
United Kingdom,1991,0,0.164,46.3M
United Kingdom,1992,604,2.27,54.5M
United Kingdom,1993,707,4.3,58.2M
United Kingdom,1994,0,3.04,63.7M
United Kingdom,1995,0,2.92,75.7M
United Kingdom,1996,1,3.44,77.3M
United Kingdom,1997,305,3.85,81.2M
United Kingdom,1998,330,3.61,89.2M
United Kingdom,1999,1440,4.46,97.6M
United Kingdom,2000,240,3.14,95.3M
United Kingdom,2001,751,2.72,93.3M
United Kingdom,2002,0,3.58,92.7M
United Kingdom,2003,1010,2.95,86.8M
United Kingdom,2004,0,1.95,79.4M
United Kingdom,2005,0,2.58,72M
Indonesia,1970,0,6.38,1.31M
Indonesia,1971,0,11.3,970k
Indonesia,1972,0,14.8,1.5M
Indonesia,1973,0,3.98,1.55M
Indonesia,1974,0,-0.202,2.03M
Indonesia,1975,20.2k,9.54,2.05M
Indonesia,1976,290k,7.71,4.94M
Indonesia,1977,282k,5,9.5M
Indonesia,1978,35k,5.07,13.8M
Indonesia,1979,3100,8.87,16.2M
Indonesia,1980,353k,6.19,16.4M
Indonesia,1981,39k,-3.54,16.7M
Indonesia,1982,418k,3.33,19M
Indonesia,1983,360k,7.2,25.6M
Indonesia,1984,4340,2.74,28.2M
Indonesia,1985,127k,6.44,29.3M
Indonesia,1986,29.1k,5.41,31.3M
Indonesia,1987,100k,6.14,34.2M
Indonesia,1988,61.5k,9.27,36M
Indonesia,1989,21.2k,9.12,38.3M
Indonesia,1990,240k,5.51,42.1M
Indonesia,1991,266k,11.3,44.6M
Indonesia,1992,268k,7.39,46.3M
Indonesia,1993,329k,7.78,52.8M
Indonesia,1994,260k,8.21,53M
Indonesia,1995,825k,7.66,55.8M
Indonesia,1996,0,4.49,57.3M
Indonesia,1997,100k,-13.7,56.4M
Indonesia,1998,16k,0.212,61.1M
Indonesia,1999,489k,4.71,60.8M
Indonesia,2000,86.1k,4.03,59M
Indonesia,2001,592k,4.45,65M
Indonesia,2002,439k,5.17,68.1M
Indonesia,2003,13k,5.03,65.1M
Indonesia,2004,20.9k,5.72,65.6M
Indonesia,2005,700k,5.21,64.8M
India,1970,166k,0.918,577k
India,1971,0,-0.345,632k
India,1972,0,4.73,631k
India,1973,260,1.2,714k
India,1974,34M,8.93,914k
India,1975,0,1.48,1.11M
India,1976,1.05M,7.84,1.19M
India,1977,32M,5.56,1.32M
India,1978,28M,-5.06,1.65M
India,1979,32M,7.3,974k
India,1980,16M,6.52,1.7M
India,1981,33.5M,3.24,2.23M
India,1982,251k,8.26,2.65M
India,1983,19M,3.93,3.04M
India,1984,11.3M,4.09,3.72M
India,1985,395k,4.38,5.19M
India,1986,18.3M,4.39,5.98M
India,1987,22.3M,10.5,7.01M
India,1988,3610,6.69,8.33M
India,1989,2220,5.24,9.97M
India,1990,8.7M,1.61,11.1M
India,1991,3.07M,5.36,12.4M
India,1992,128M,6.08,12.6M
India,1993,12.1M,7.38,13.6M
India,1994,32.7M,7.42,15.5M
India,1995,7.27M,7.87,17M
India,1996,30.3M,4.79,18.4M
India,1997,29.6M,6.48,20.2M
India,1998,27.6M,6.02,20.7M
India,1999,50.4M,4.28,21.8M
India,2000,20.6M,5.66,21.9M
India,2001,42M,3.41,22.8M
India,2002,7.57M,8.36,24.4M
India,2003,33.2M,8.39,24.2M
India,2004,28.3M,7.97,24.5M
India,2005,7.24M,9.62,24.2M
Iran,1970,0,12.4,7.27M
Iran,1971,0,16.3,9.8M
Iran,1972,0,8.61,10.8M
Iran,1973,0,8.92,11.2M
Iran,1974,0,4.98,11.7M
Iran,1975,0,17.4,11.9M
Iran,1976,0,-1.12,12.1M
Iran,1977,0,-11.7,7.59M
Iran,1978,0,-8.63,7.31M
Iran,1979,950k,-14.4,3.9M
Iran,1980,158,-3.43,4.24M
Iran,1981,0,15.5,5.8M
Iran,1982,0,13.2,6.63M
Iran,1983,0,1.75,7.72M
Iran,1984,0,2.53,8.33M
Iran,1985,40.3k,-9.21,8M
Iran,1986,865,-0.828,9.8M
Iran,1987,150k,-4.74,10.6M
Iran,1988,150k,4.32,13.4M
Iran,1989,0,9.1,21.3M
Iran,1990,215k,9.27,25.1M
Iran,1991,35.1k,5.9,26.6M
Iran,1992,500k,3.34,14.2M
Iran,1993,95k,3.77,22.6M
Iran,1994,6290,3.89,27.4M
Iran,1995,4050,6.38,32.2M
Iran,1996,1410,5.7,33.9M
Iran,1997,56.8k,2.59,38.2M
Iran,1998,25.5k,2.75,45.6M
Iran,1999,410,5.85,48.4M
Iran,2000,1.21M,4.24,53.8M
Iran,2001,205k,5.37,64M
Iran,2002,1370,7.23,67.1M
Iran,2003,4090,7.19,78.3M
Iran,2004,4860,5.09,83.1M
Iran,2005,2810,5.82,90.5M
Iraq,1970,0,6.61,756k
Iraq,1971,0,-2.33,764k
Iraq,1972,0,21.6,743k
Iraq,1973,0,13.6,683k
Iraq,1974,0,14.4,1.06M
Iraq,1975,0,17.1,1.47M
Iraq,1976,0,0.382,962k
Iraq,1977,0,17.9,997k
Iraq,1978,0,30.5,1.43M
Iraq,1979,0,2.3,1.05M
Iraq,1980,0,-16.6,506k
Iraq,1981,0,-3.48,555k
Iraq,1982,0,-12.9,384k
Iraq,1983,0,1.31,482k
Iraq,1984,0,2.79,694k
Iraq,1985,0,5.61,1.27M
Iraq,1986,0,20.4,3.06M
Iraq,1987,0,3.48,4.57M
Iraq,1988,0,-10.2,5.27M
Iraq,1989,0,0.00287,3.25M
Iraq,1990,0,-66.5,1.42M
Iraq,1991,0,24.2,1.85M
Iraq,1992,0,49.6,2.08M
Iraq,1993,0,-7.88,2.59M
Iraq,1994,0,-19.1,2.59M
Iraq,1995,0,48.7,2.65M
Iraq,1996,0,23.3,2.49M
Iraq,1997,0,35,2.41M
Iraq,1998,0,21.8,2.6M
Iraq,1999,0,1.8,2.57M
Iraq,2000,0,2.52,2.25M
Iraq,2001,0,-8.76,1.93M
Iraq,2002,0,-35.1,1.27M
Iraq,2003,8000,58.5,817k
Iraq,2004,0,3.32,1.18M
Iraq,2005,59.9k,9.27,1.18M
Italy,1970,0,1.99,11M
Italy,1971,0,3.48,11.7M
Italy,1972,0,7.77,12.6M
Italy,1973,0,4.32,12.6M
Italy,1974,0,-2.78,12M
Italy,1975,0,7.09,12.9M
Italy,1976,1020,2.13,11.3M
Italy,1977,0,4.45,11.3M
Italy,1978,0,6.31,11M
Italy,1979,0,3.44,10.3M
Italy,1980,0,1.27,11.5M
Italy,1981,0,1.31,11.8M
Italy,1982,0,1.29,10.6M
Italy,1983,0,5.03,11.2M
Italy,1984,0,3.24,11.5M
Italy,1985,2,2.28,12.9M
Italy,1986,0,3.96,13.3M
Italy,1987,0,5.66,13.5M
Italy,1988,0,4.3,13.8M
Italy,1989,0,1.88,14M
Italy,1990,0,0.942,14.1M
Italy,1991,1000,1.26,14.7M
Italy,1992,0,-0.778,15.7M
Italy,1993,17.4k,3,16.5M
Italy,1994,0,5.39,16.3M
Italy,1995,517,0.865,16.4M
Italy,1996,0,3.16,15.9M
Italy,1997,0,2.91,15.7M
Italy,1998,0,2.87,14.4M
Italy,1999,46.1k,4.15,13.7M
Italy,2000,2,2.66,12.6M
Italy,2001,10k,1.21,12.1M
Italy,2002,1350,0.173,11.5M
Italy,2003,202,0.864,10.7M
Italy,2004,0,0.203,9.96M
Italy,2005,0,2.41,9.06M
Kuwait,1970,0,8.53,1.72M
Kuwait,1971,0,5.09,2.03M
Kuwait,1972,0,-5.79,2.28M
Kuwait,1973,0,-12.4,2.39M
Kuwait,1974,0,-12,2.62M
Kuwait,1975,0,5.94,3.16M
Kuwait,1976,0,-4.54,3.44M
Kuwait,1977,0,6.21,3.86M
Kuwait,1978,0,12.5,5.11M
Kuwait,1979,0,-21,3.33M
Kuwait,1980,0,-18.6,3.83M
Kuwait,1981,0,-11.6,3M
Kuwait,1982,0,8.02,3.3M
Kuwait,1983,0,5.45,3.57M
Kuwait,1984,0,-5.05,3.43M
Kuwait,1985,0,9.38,4.68M
Kuwait,1986,0,-3.01,3.9M
Kuwait,1987,0,3.86,5.59M
Kuwait,1988,0,5.93,6.67M
Kuwait,1989,0,-23,3.42M
Kuwait,1990,0,28.9,408k
Kuwait,1991,0,13.1,2.14M
Kuwait,1992,0,19.7,4.43M
Kuwait,1993,0,-2.55,4.88M
Kuwait,1994,0,-6.67,7.58M
Kuwait,1995,0,-7.42,7.6M
Kuwait,1996,202,-0.156,7.57M
Kuwait,1997,0,-0.794,7.75M
Kuwait,1998,0,-0.356,7.1M
Kuwait,1999,0,5.62,7.84M
Kuwait,2000,0,0.278,7.76M
Kuwait,2001,0,2.59,7.11M
Kuwait,2002,0,15.8,8.17M
Kuwait,2003,0,10,8.9M
Kuwait,2004,0,9.94,10M
Kuwait,2005,0,4.94,10.1M
Libya,1970,0,-4.65,578k
Libya,1971,0,-10.9,2.31M
Libya,1972,0,0.613,3.7M
Libya,1973,0,-14.9,3.33M
Libya,1974,0,8.05,3.79M
Libya,1975,0,24.9,3.9M
Libya,1976,0,11.8,4.13M
Libya,1977,0,6.04,4.18M
Libya,1978,0,14.2,5.54M
Libya,1979,0,1.67,4.22M
Libya,1980,0,-17.6,2.57M
Libya,1981,0,-1.64,2.74M
Libya,1982,0,0.605,3.03M
Libya,1983,0,-6.63,3.76M
Libya,1984,0,-5.75,4.25M
Libya,1985,0,-5.53,4.57M
Libya,1986,0,-2.35,4.08M
Libya,1987,0,0.88,4.49M
Libya,1988,0,0.803,5.55M
Libya,1989,0,-1.61,5.06M
Libya,1990,0,-5.73,5.34M
Libya,1991,0,-3.88,5.53M
Libya,1992,0,-4.21,5.2M
Libya,1993,0,-0.844,5.22M
Libya,1994,0,1.04,5.18M
Libya,1995,0,5.49,5.24M
Libya,1996,0,6.5,5.37M
Libya,1997,0,-3.23,5.2M
Libya,1998,0,1.49,4.25M
Libya,1999,0,3.85,4.8M
Libya,2000,0,6.38,5.05M
Libya,2001,0,1.88,4.82M
Libya,2002,0,6.45,4.49M
Libya,2003,0,5.61,6.58M
Libya,2004,0,7.01,9.23M
Libya,2005,0,6.5,10.8M
Mexico,1970,0,3.61,9.39M
Mexico,1971,100k,8.19,9.76M
Mexico,1972,150k,7.93,10.6M
Mexico,1973,0,5.8,11.1M
Mexico,1974,0,5.73,11.3M
Mexico,1975,0,4.42,11.1M
Mexico,1976,0,3.43,11.8M
Mexico,1977,7010,9.18,14.7M
Mexico,1978,60k,9.85,17.9M
Mexico,1979,100k,9.27,21.6M
Mexico,1980,0,8.5,23.3M
Mexico,1981,5230,-0.79,24.8M
Mexico,1982,0,-3.82,25M
Mexico,1983,20k,3.26,24.6M
Mexico,1984,0,2.1,23.9M
Mexico,1985,20,-3.19,21.2M
Mexico,1986,228,1.79,21.6M
Mexico,1987,0,1.38,21.8M
Mexico,1988,40,4.26,21M
Mexico,1989,17.9k,5.32,22.7M
Mexico,1990,44k,4.29,23M
Mexico,1991,0,3.58,22.3M
Mexico,1992,261k,1.92,23.9M
Mexico,1993,0,4.47,25.1M
Mexico,1994,0,-6.4,25.1M
Mexico,1995,9000,5.36,26.5M
Mexico,1996,0,7.09,26.7M
Mexico,1997,30.4k,5.19,28.3M
Mexico,1998,619k,4.07,29.4M
Mexico,1999,2140,6.71,28.7M
Mexico,2000,21,0.147,28.5M
Mexico,2001,7040,1.09,29M
Mexico,2002,53.9k,1.57,30M
Mexico,2003,4130,4.42,31.8M
Mexico,2004,14k,3.05,38.1M
Mexico,2005,0,5.05,41.7M
Myanmar,1970,0,3.79,12.2k
Myanmar,1971,0,1.27,13.1k
Myanmar,1972,0,0.196,15.8k
